Date : 2024-06-13 11:58:56
Directory : e:\spring
Total : 217 files,  19864 codes, 541 comments, 1292 blanks, all 21697 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     11,922 |          0 |          2 |     11,924 |
| Java               |        159 |      5,034 |        186 |      1,005 |      6,225 |
| Vue                |         21 |      1,779 |        241 |        132 |      2,152 |
| JavaScript         |         17 |        679 |        101 |        104 |        884 |
| XML                |          6 |        354 |          9 |         32 |        395 |
| Markdown           |          2 |         34 |          0 |         15 |         49 |
| HTML               |          4 |         33 |          1 |          1 |         35 |
| JSON with Comments |          1 |         19 |          0 |          1 |         20 |
| Java Properties    |          3 |          7 |          0 |          0 |          7 |
| CSS                |          2 |          3 |          3 |          0 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        217 |     19,864 |        541 |      1,292 |     21,697 |
| . (Files)                                                                                                             |          1 |         15 |          0 |          9 |         24 |
| backencloud                                                                                                           |        170 |      5,411 |        195 |      1,037 |      6,643 |
| backencloud (Files)                                                                                                   |          1 |         60 |          1 |          6 |         67 |
| backencloud\backend                                                                                                   |         81 |      2,175 |         44 |        488 |      2,707 |
| backencloud\backend (Files)                                                                                           |          1 |        117 |          3 |          4 |        124 |
| backencloud\backend\src                                                                                               |         80 |      2,058 |         41 |        484 |      2,583 |
| backencloud\backend\src\main                                                                                          |         80 |      2,058 |         41 |        484 |      2,583 |
| backencloud\backend\src\main\java                                                                                     |         77 |      2,037 |         41 |        484 |      2,562 |
| backencloud\backend\src\main\java\com                                                                                 |         77 |      2,037 |         41 |        484 |      2,562 |
| backencloud\backend\src\main\java\com\kob                                                                             |         77 |      2,037 |         41 |        484 |      2,562 |
| backencloud\backend\src\main\java\com\kob\backend                                                                     |         77 |      2,037 |         41 |        484 |      2,562 |
| backencloud\backend\src\main\java\com\kob\backend (Files)                                                             |          1 |          9 |          0 |          5 |         14 |
| backencloud\backend\src\main\java\com\kob\backend\config                                                              |          6 |        165 |          0 |         39 |        204 |
| backencloud\backend\src\main\java\com\kob\backend\config (Files)                                                      |          5 |        117 |          0 |         27 |        144 |
| backencloud\backend\src\main\java\com\kob\backend\config\filter                                                       |          1 |         48 |          0 |         12 |         60 |
| backencloud\backend\src\main\java\com\kob\backend\consumer                                                            |          5 |        530 |         22 |         83 |        635 |
| backencloud\backend\src\main\java\com\kob\backend\consumer (Files)                                                    |          1 |        159 |         22 |         20 |        201 |
| backencloud\backend\src\main\java\com\kob\backend\consumer\utils                                                      |          4 |        371 |          0 |         63 |        434 |
| backencloud\backend\src\main\java\com\kob\backend\controller                                                          |         20 |        352 |          2 |        103 |        457 |
| backencloud\backend\src\main\java\com\kob\backend\controller (Files)                                                  |          1 |         33 |          2 |          8 |         43 |
| backencloud\backend\src\main\java\com\kob\backend\controller\follows                                                  |          3 |         48 |          0 |         18 |         66 |
| backencloud\backend\src\main\java\com\kob\backend\controller\pk                                                       |          4 |         67 |          0 |         18 |         85 |
| backencloud\backend\src\main\java\com\kob\backend\controller\post                                                     |          1 |         17 |          0 |          5 |         22 |
| backencloud\backend\src\main\java\com\kob\backend\controller\ranklist                                                 |          1 |         19 |          0 |          5 |         24 |
| backencloud\backend\src\main\java\com\kob\backend\controller\record                                                   |          1 |         19 |          0 |          5 |         24 |
| backencloud\backend\src\main\java\com\kob\backend\controller\user                                                     |          9 |        149 |          0 |         44 |        193 |
| backencloud\backend\src\main\java\com\kob\backend\controller\user (Files)                                             |          2 |         32 |          0 |         10 |         42 |
| backencloud\backend\src\main\java\com\kob\backend\controller\user\account                                             |          3 |         52 |          0 |         14 |         66 |
| backencloud\backend\src\main\java\com\kob\backend\controller\user\bot                                                 |          4 |         65 |          0 |         20 |         85 |
| backencloud\backend\src\main\java\com\kob\backend\mapper                                                              |          4 |         28 |          0 |         12 |         40 |
| backencloud\backend\src\main\java\com\kob\backend\pojo                                                                |          4 |         91 |          0 |         14 |        105 |
| backencloud\backend\src\main\java\com\kob\backend\service                                                             |         36 |        809 |         17 |        219 |      1,045 |
| backencloud\backend\src\main\java\com\kob\backend\service\follows                                                     |          3 |         15 |          0 |          9 |         24 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl                                                        |         19 |        724 |         17 |        168 |        909 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl (Files)                                                |          1 |         25 |          0 |          4 |         29 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\follows                                                |          3 |        132 |          7 |         29 |        168 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\pk                                                     |          2 |         36 |          0 |          6 |         42 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\post                                                   |          1 |         30 |          0 |          5 |         35 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\ranklist                                               |          1 |         30 |          0 |          7 |         37 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\record                                                 |          1 |         48 |          0 |          8 |         56 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\user                                                   |          9 |        381 |         10 |         98 |        489 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\user (Files)                                           |          2 |         57 |          0 |         14 |         71 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\user\account                                           |          3 |        119 |          2 |         31 |        152 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\user\bot                                               |          4 |        205 |          8 |         53 |        266 |
| backencloud\backend\src\main\java\com\kob\backend\service\impl\utils                                                  |          1 |         42 |          0 |         11 |         53 |
| backencloud\backend\src\main\java\com\kob\backend\service\pk                                                          |          2 |          8 |          0 |          4 |         12 |
| backencloud\backend\src\main\java\com\kob\backend\service\post                                                        |          1 |          5 |          0 |          3 |          8 |
| backencloud\backend\src\main\java\com\kob\backend\service\ranklist                                                    |          1 |          5 |          0 |          3 |          8 |
| backencloud\backend\src\main\java\com\kob\backend\service\record                                                      |          1 |          5 |          0 |          3 |          8 |
| backencloud\backend\src\main\java\com\kob\backend\service\user                                                        |          9 |         47 |          0 |         29 |         76 |
| backencloud\backend\src\main\java\com\kob\backend\service\user (Files)                                                |          2 |         10 |          0 |          6 |         16 |
| backencloud\backend\src\main\java\com\kob\backend\service\user\account                                                |          3 |         15 |          0 |         10 |         25 |
| backencloud\backend\src\main\java\com\kob\backend\service\user\bot                                                    |          4 |         22 |          0 |         13 |         35 |
| backencloud\backend\src\main\java\com\kob\backend\utils                                                               |          1 |         53 |          0 |          9 |         62 |
| backencloud\backend\src\main\resources                                                                                |          3 |         21 |          0 |          0 |         21 |
| backencloud\backend\src\main\resources (Files)                                                                        |          1 |          5 |          0 |          0 |          5 |
| backencloud\backend\src\main\resources\static                                                                         |          1 |          6 |          0 |          0 |          6 |
| backencloud\backend\src\main\resources\templates                                                                      |          1 |         10 |          0 |          0 |         10 |
| backencloud\backend\src\main\resources\templates\pk                                                                   |          1 |         10 |          0 |          0 |         10 |
| backencloud\botrunningsystem                                                                                          |         13 |        337 |         16 |         68 |        421 |
| backencloud\botrunningsystem (Files)                                                                                  |          1 |         64 |          3 |          9 |         76 |
| backencloud\botrunningsystem\src                                                                                      |         12 |        273 |         13 |         59 |        345 |
| backencloud\botrunningsystem\src\main                                                                                 |         12 |        273 |         13 |         59 |        345 |
| backencloud\botrunningsystem\src\main\java                                                                            |         11 |        272 |         13 |         59 |        344 |
| backencloud\botrunningsystem\src\main\java\com                                                                        |         11 |        272 |         13 |         59 |        344 |
| backencloud\botrunningsystem\src\main\java\com\kob                                                                    |         11 |        272 |         13 |         59 |        344 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem                                                   |         11 |        272 |         13 |         59 |        344 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem (Files)                                           |          1 |         11 |          0 |          2 |         13 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\config                                            |          2 |         32 |          0 |          6 |         38 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\controller                                        |          1 |         21 |          0 |          5 |         26 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service                                           |          5 |        131 |         13 |         31 |        175 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service (Files)                                   |          1 |          4 |          0 |          2 |          6 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl                                      |          4 |        127 |         13 |         29 |        169 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl (Files)                              |          1 |         14 |          0 |          3 |         17 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\service\impl\utils                                |          3 |        113 |         13 |         26 |        152 |
| backencloud\botrunningsystem\src\main\java\com\kob\botrunningsystem\utils                                             |          2 |         77 |          0 |         15 |         92 |
| backencloud\botrunningsystem\src\main\resources                                                                       |          1 |          1 |          0 |          0 |          1 |
| backencloud\joptionpane                                                                                               |         63 |      2,537 |        128 |        425 |      3,090 |
| backencloud\joptionpane (Files)                                                                                       |          1 |         36 |          0 |          3 |         39 |
| backencloud\joptionpane\src                                                                                           |         62 |      2,501 |        128 |        422 |      3,051 |
| backencloud\joptionpane\src\main                                                                                      |         62 |      2,501 |        128 |        422 |      3,051 |
| backencloud\joptionpane\src\main\java                                                                                 |         62 |      2,501 |        128 |        422 |      3,051 |
| backencloud\joptionpane\src\main\java (Files)                                                                         |          6 |        223 |          0 |         31 |        254 |
| backencloud\joptionpane\src\main\java\PTAJAVA2                                                                        |          4 |        310 |          0 |         56 |        366 |
| backencloud\joptionpane\src\main\java\PTAJAVA3                                                                        |          7 |        364 |          0 |         63 |        427 |
| backencloud\joptionpane\src\main\java\PTAJAVA4                                                                        |          6 |        295 |          0 |         44 |        339 |
| backencloud\joptionpane\src\main\java\PTAJAVA5                                                                        |          8 |        217 |        122 |         34 |        373 |
| backencloud\joptionpane\src\main\java\PTAJAVA6                                                                        |          5 |        362 |          0 |         47 |        409 |
| backencloud\joptionpane\src\main\java\实验10                                                                            |          3 |         79 |          0 |          9 |         88 |
| backencloud\joptionpane\src\main\java\实验2                                                                             |          8 |        151 |          0 |         32 |        183 |
| backencloud\joptionpane\src\main\java\实验2\one                                                                         |          4 |         57 |          0 |         10 |         67 |
| backencloud\joptionpane\src\main\java\实验2\three                                                                       |          2 |         66 |          0 |         14 |         80 |
| backencloud\joptionpane\src\main\java\实验2\two                                                                         |          2 |         28 |          0 |          8 |         36 |
| backencloud\joptionpane\src\main\java\实验4                                                                             |          4 |        186 |          6 |         22 |        214 |
| backencloud\joptionpane\src\main\java\实验5                                                                             |          3 |         66 |          0 |         22 |         88 |
| backencloud\joptionpane\src\main\java\实验三                                                                             |          8 |        248 |          0 |         62 |        310 |
| backencloud\matchingsystem                                                                                            |         10 |        278 |          6 |         46 |        330 |
| backencloud\matchingsystem (Files)                                                                                    |          1 |         59 |          2 |          7 |         68 |
| backencloud\matchingsystem\src                                                                                        |          9 |        219 |          4 |         39 |        262 |
| backencloud\matchingsystem\src\main                                                                                   |          9 |        219 |          4 |         39 |        262 |
| backencloud\matchingsystem\src\main\java                                                                              |          8 |        218 |          4 |         39 |        261 |
| backencloud\matchingsystem\src\main\java\com                                                                          |          8 |        218 |          4 |         39 |        261 |
| backencloud\matchingsystem\src\main\java\com\kob                                                                      |          8 |        218 |          4 |         39 |        261 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem                                                       |          8 |        218 |          4 |         39 |        261 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem (Files)                                               |          1 |         11 |          0 |          2 |         13 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\config                                                |          2 |         33 |          0 |          6 |         39 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\controller                                            |          1 |         27 |          0 |          6 |         33 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service                                               |          4 |        147 |          4 |         25 |        176 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service (Files)                                       |          1 |          5 |          0 |          2 |          7 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl                                          |          3 |        142 |          4 |         23 |        169 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl (Files)                                  |          1 |         20 |          0 |          5 |         25 |
| backencloud\matchingsystem\src\main\java\com\kob\matchingsystem\service\impl\utils                                    |          2 |        122 |          4 |         18 |        144 |
| backencloud\matchingsystem\src\main\resources                                                                         |          1 |          1 |          0 |          0 |          1 |
| backencloud\test                                                                                                      |          2 |         24 |          0 |          4 |         28 |
| backencloud\test (Files)                                                                                              |          1 |         18 |          0 |          3 |         21 |
| backencloud\test\src                                                                                                  |          1 |          6 |          0 |          1 |          7 |
| backencloud\test\src\main                                                                                             |          1 |          6 |          0 |          1 |          7 |
| backencloud\test\src\main\java                                                                                        |          1 |          6 |          0 |          1 |          7 |
| backencloud\test\src\main\java\com                                                                                    |          1 |          6 |          0 |          1 |          7 |
| backencloud\test\src\main\java\com\kob                                                                                |          1 |          6 |          0 |          1 |          7 |
| backencloud\test\src\main\java\com\kob\botrunningsystem                                                               |          1 |          6 |          0 |          1 |          7 |
| web                                                                                                                   |         46 |     14,438 |        346 |        246 |     15,030 |
| web (Files)                                                                                                           |          6 |     11,969 |          0 |         11 |     11,980 |
| web\public                                                                                                            |          1 |         16 |          1 |          1 |         18 |
| web\springboot                                                                                                        |          5 |         17 |         79 |          0 |         96 |
| web\springboot (Files)                                                                                                |          1 |          1 |          0 |          0 |          1 |
| web\springboot\css                                                                                                    |          2 |          3 |          3 |          0 |          6 |
| web\springboot\js                                                                                                     |          2 |         13 |         76 |          0 |         89 |
| web\src                                                                                                               |         34 |      2,436 |        266 |        234 |      2,936 |
| web\src (Files)                                                                                                       |          2 |         26 |          1 |          6 |         33 |
| web\src\assets                                                                                                        |          6 |        344 |         13 |         75 |        432 |
| web\src\assets (Files)                                                                                                |          1 |          4 |          2 |          3 |          9 |
| web\src\assets\scripts                                                                                                |          5 |        340 |         11 |         72 |        423 |
| web\src\components                                                                                                    |          9 |        662 |         41 |         54 |        757 |
| web\src\components (Files)                                                                                            |          6 |        388 |         13 |         27 |        428 |
| web\src\components\personal_center                                                                                    |          3 |        274 |         28 |         27 |        329 |
| web\src\router                                                                                                        |          1 |        118 |          8 |         12 |        138 |
| web\src\store                                                                                                         |          4 |        185 |          4 |         11 |        200 |
| web\src\views                                                                                                         |         12 |      1,101 |        199 |         76 |      1,376 |
| web\src\views (Files)                                                                                                 |          1 |         33 |         18 |          7 |         58 |
| web\src\views\error                                                                                                   |          1 |         13 |          0 |          2 |         15 |
| web\src\views\pk                                                                                                      |          1 |         98 |          6 |          9 |        113 |
| web\src\views\ranklist                                                                                                |          1 |        118 |        166 |         10 |        294 |
| web\src\views\record                                                                                                  |          2 |        232 |          2 |         18 |        252 |
| web\src\views\test                                                                                                    |          2 |         15 |          0 |          3 |         18 |
| web\src\views\test\star                                                                                               |          2 |         15 |          0 |          3 |         18 |
| web\src\views\user                                                                                                    |          4 |        592 |          7 |         27 |        626 |
| web\src\views\user\account                                                                                            |          2 |        195 |          2 |          9 |        206 |
| web\src\views\user\bot                                                                                                |          1 |        362 |          3 |         14 |        379 |
| web\src\views\user\profile                                                                                            |          1 |         35 |          2 |          4 |         41 |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                              | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| e:\spring\backencloud\backend\pom.xml                                                                                 | XML                |        117 |          3 |          4 |        124 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\BackendApplication.java                                   | Java               |          9 |          0 |          5 |         14 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\CorsConfig.java                                    | Java               |         33 |          0 |         10 |         43 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\MybatisConfig.java                                 | Java               |         15 |          0 |          2 |         17 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\RestTemplateConfig.java                            | Java               |         12 |          0 |          3 |         15 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\SecurityConfig.java                                | Java               |         46 |          0 |          7 |         53 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\WebSocketConfig.java                               | Java               |         11 |          0 |          5 |         16 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\config\filter\JwtAuthenticationTokenFilter.java           | Java               |         48 |          0 |         12 |         60 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\consumer\WebSocketServer.java                             | Java               |        159 |         22 |         20 |        201 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\consumer\utils\Cell.java                                  | Java               |         10 |          0 |          3 |         13 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\consumer\utils\Game.java                                  | Java               |        302 |          0 |         49 |        351 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\consumer\utils\JwtAuthentication.java                     | Java               |         15 |          0 |          3 |         18 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\consumer\utils\Player.java                                | Java               |         44 |          0 |          8 |         52 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\follows\AddFollowsCountController.java         | Java               |         16 |          0 |          6 |         22 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\follows\ChangeFollowsController.java           | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\follows\GetFollowsController.java              | Java               |         16 |          0 |          7 |         23 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\pk\BotInfoController.java                      | Java               |         16 |          0 |          5 |         21 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\pk\IndexController.java                        | Java               |         11 |          0 |          3 |         14 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\pk\ReceiveBotMoveController.java               | Java               |         19 |          0 |          5 |         24 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\pk\StartGameController.java                    | Java               |         21 |          0 |          5 |         26 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\post\AddPostController.java                    | Java               |         17 |          0 |          5 |         22 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\ranklist\GetRankListController.java            | Java               |         19 |          0 |          5 |         24 |
| e:\spring\backencloud\backend\src\main\java\com\kob\backend\controller\record\GetRecordListController.java            | Java               |         19 |          0 |          5 |         24 |
