"filename", "language", "Markdown", "CSV", "JSON", "JavaScript", "Vue", "Java", "comment", "blank", "total"
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\details.md", "Markdown", 226, 0, 0, 0, 0, 0, 0, 6, 232
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\diff-details.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 6, 15
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\diff.csv", "CSV", 0, 2, 0, 0, 0, 0, 0, 0, 2
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\diff.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 7, 19
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\results.csv", "CSV", 0, 219, 0, 0, 0, 0, 0, 0, 219
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\results.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\spring\.VSCodeCounter\2024-06-13_11-58-56\results.md", "Markdown", 173, 0, 0, 0, 0, 0, 0, 7, 180
"e:\spring\backencloud\joptionpane\src\main\java\PTAJAVA5\Main4.java", "Java", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\spring\web\src\router\index.js", "JavaScript", 0, 0, 0, 9, 0, 0, 1, 1, 11
"e:\spring\web\src\views\showImage.vue.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 1, 6
"Total", "-", 420, 221, 1, 9, 5, 1, 1, 28, 686
